,judul_skripsi,text_preprocessing,label
21,"RANCANG BANGUN APLIKASI ONLINE SHOP BERBASIS WEB MENGGUNAKAN METODE MARKET BASKET ANALYSIS STUDI KASUS UD MEDIKA TEKNIK MAKMUR CIKARANG
",rancang bangun aplikasi online shop bas web guna metode market basket analysis studi kasus ud medika teknik makmur cikarang,3
22,RANCANG BANGUN APLIKASI ONLINE SHOP BERBASIS WEB MENGGUNAKAN METODE MARKET BASKET ANALYSIS STUDI KASUS UD MEDIKA TEKNIK MAKMUR CIKARANG,rancang bangun aplikasi online shop bas web guna metode market basket analysis studi kasus ud medika teknik makmur cikarang,3
23,"SISTEM ABSENSI QR CODE BERBASIS ANDROID DAN PEMBERIAN BONUS 
PENGAJAR MENGGUNAKAN METODE PERBANDNGAN EKPONENSIAL (MPE) 
PADA BIMBEL MAX EDUCATION DI RAWA LUMBU",sistem absensi qr code bas android beri bonus ajar guna metode perbandngan ekponensial mpe pada bimbel max education rawa lumbu,3
24,"PREDIKSI HARGA BARANG LELANG PT BALAI LELANG RAJAWALI KARYA 
DENGAN METODE SINGLE MOVING AVERAGE DAN
METODE EXPONENTIAL SMOOTHING",prediksi harga barang lelang pt balai lelang rajawali karya dengan metode single moving average dan metode exponential smoothing,2
25,"RANCANGAN SISTEM PENJUALAN MENGGUNAKAN BARCODE PADA 
TOKO SEMBAKO WARUNG BIRU MENGGUNAKAN METODE FPGROWTH DAN MOVING AVARAGE",rancang sistem jual guna barcode toko sembako warung biru guna metode fpgrowth moving avarage,2
26,"ANALISIS DAN RANCANGAN SISTEM SURVEI 
KEPUASAN PELANGGAN PADA KUALITAS JASA 
PELAYANAN INTERNET DAV NET DENGAN 
METODE SERVQUAL DAN METODE IPA",analisis rancang sistem survei puas langgan kualitas jasa layan internet dav net metode servqual metode ipa,3
27,PERANCANGAN SISTEM PENDUKUNG KEPUTUSAN BERBASIS WEB UNTUK MEMBANTU MAHASISWA UNSADA DALAM MEMILIH KOS IDEAL DI SEKITAR KAMPUS DENGAN MENGGUNAKAN METODE AHP DAN METODE VIKOR,rancang sistem dukung putus bas web bantu mahasiswa unsada pilih kos ideal kampus guna metode ahp metode vikor,3
28,Rancangan Sistem Film CrowdFunding Dengan Metode AHP (Analytic Hierarchy Process) Berbasis Website Study Kasus PERUM PRODUKSI FILM NEGARA,rancang sistem film crowdfunding metode ahp analytic hierarchy process bas website study kasus perum produksi film negara,3
29,"IMPLEMENTASI METODE FUZZY MAMDANI PADA APLIKASI DISTRIBUSI DATA BARANG BANTUAN BENCANA BERBASIS WEB UNTUK PEMERATAAN (STUDI KASUS : YOGYAKARTA)
",implementasi metode fuzzy mamdani aplikasi distribusi data barang bantu bencana bas web perata studi kasus yogyakarta,1
30,RANCANG BANGUN APLIKASI FORECASTING KEBUTUHAN STOK BARANG DAGANG DENGAN METODE LEAST SQUARE REGRESSION LINE DAN PENGELOLAAN KOPERASI PADA PASAR KRANJI BEKASI,rancang bangun aplikasi forecasting butuh stok barang dagang metode least square regression line kelola koperasi pasar kranji bekas,0
31," perancangan sistem informasi koperasi simpan pinjam dengan fitur rekomendasi prioritas peminjaman uang menggunakan algoritma c4.5 dan k-means """,rancang sistem informasi koperasi simpan pinjam fitur rekomendasi prioritas pinjam uang guna algoritma c4 5 k-means,0
32,SISTEM APLIKASI PROJECT MANAGEMENT PADA PT PRODIGI MENGGUNAKAN CPM DENGAN ALGORITMA SAW,sistem aplikasi project management pt prodigi guna cpm algoritma saw,3
33,PERANCANGAN SISTEM PENDUKUNG KEPUTUSAN BERBASIS WEB UNTUK MEMBANTU MAHASISWA UNSADA DALAM MEMILIH KOS IDEAL DI SEKITAR KAMPUS DENGAN MENGGUNAKAN METODE AHP DAN METODE VIKOR,rancang sistem dukung putus bas web bantu mahasiswa unsada pilih kos ideal kampus guna metode ahp metode vikor,3
34,SISTEM PENDUKUNG KEPUTUSAN PENENTUAN WAHANA TERBAIK PADA TAMAN REKREASI RAINBOW LAKE BEKASI MENGGUNAKAN METODE ELIMINATION ET CHOIX TRADUISANT LA REALITE (ELECTRE),sistem dukung putus tentu wahana baik taman rekreasi rainbow lake bekas guna metode elimination et choix traduisant la realite electre,3
35,PERANCANGAN PENDETEKSI COVID 19 MENGGUNAKAN ARDUINO DENGAN METODE FUZZY LOGIC DAN K-MEANS PADA PT DANKOM MITRA ABADI,rancang deteksi covid 19 guna arduino metode fuzzy logic k-means pt dankom mitra abadi,3
36,"PERANCANGAN SISTEM  INFORMASI GUDANG UNTUK MENGONTROL PERSEDIAAN BARANG PADA GUDANG BERBASIS WEB MENGGUNAKAN METODE K-MEANS DAN ECONOMIC ORDER QUANTITY (EOQ) STUDI KASUS PADA PT. BINTANG MONO INDONESIA
",rancang sistem informasi gudang kontrol sedia barang gudang bas web guna metode k-means economic order quantity eoq studi kasus pt bintang mono indonesia,3
37,PERANCANGAN SISTEM INFORMASI PREDIKSI PERSEDIAAN BARANG DAN JASA PERCETAKAN PADA CV. BISMA OPTIMA  MENGGUNAKAN METODE SINGLE EXPONENTIAL SMOOTHING ,rancang sistem informasi prediksi sedia barang jasa cetak cv bisma optima guna metode single exponential smoothing,2
38,"Perancangan Sistem Informasi Tracking Pengiriman Cargo Berbasis 
Web Untuk Pengontrolan Lokasi kurir secara real-time Dengan Metode 
Location Based System (LBS) (Studi Kasus : PT. Wahana Multi Logistik)",rancang sistem informasi tracking kirim cargo bas web kontrol lokasi kurir real-time metode location based system lbs studi kasus pt wahana multi logistik,3
39,PERANCANGAN SISTEM INFORMASI BERBASIS WEB UNTUK PENILAIAN SISWA MENGGUNAKAN METODE ALGORITMA K-NEAREST NEIGHBOR CLASSIFICATION (K-NN) (Studi Kasus : SMK Negeri 31 Jakarta Pusat),rancang sistem informasi bas web nilai siswa guna metode algoritma k-nearest neighbor classification k-nn studi kasus smk negeri 31 jakarta pusat,1
40,SISTEM PERANCANGAN PENGAMBILAN KEPUTUSAN PEMINJAMAN MODAL TERHADAP UMKM TERDAMPAK COVID MENGGUNAKAN METODE MFEP,sistem rancang ambil putus pinjam modal umkm dampak covid guna metode mfep,0
41,PERANCANGAN SISTEM INFORMASI GOTONG ROYONG DIGITAL BERBASIS WEB DENGAN MENGGUNAKAN METODE SDLC ,rancang sistem informasi gotong royong digital bas web guna metode sdlc,3
42,PERANCANGAN SISTEM INFORMASI PENJUALAN SPAREPART MOTOR BERBASIS WEB DENGAN MENGGUNAKAN METODE TIME SERIES ,rancang sistem informasi jual sparepart motor bas web guna metode time series,3
43,PERANCANGAN SISTEM INFORMASI GOTONG ROYONG DIGITAL BERBASIS WEB DENGAN MENGGUNAKAN SDLC,rancang sistem informasi gotong royong digital bas web guna sdlc,3
44,"PERANCANGAN SISTEM INFORMASI KOPERASI DANA TALANGAN
BERBASIS WEB MENGGUNAKAN METODE K-NN DAN SAW UNTUK
MENENTUKAN BESAR PINJAMAN DANA TALANGAN PT. RAS",rancang sistem informasi koperasi dana talang bas web guna metode k-nn saw untuk tentu besar pinjam dana talang pt ras,0
45,Perancangan Sistem Aplikasi Toko Online Berbasis Website Dengan Metode Collaborative Filltering,rancang sistem aplikasi toko online bas website metode collaborative filltering,3
46,RANCANG BANGUN APLIKASI SISTEM KEPUTUSAN MUSTAHIQ BERBASIS WEB MENGGUNAKAN METODE WEIGHTED AGGREGATED SUM PRODUCT ASSESMENT (STUDI KASUS : BADAN LAZIS MUSHOLA DARUSSALAM),rancang bangun aplikasi sistem putus mustahiq bas web guna metode weighted aggregated sum product assesment studi kasus badan lazis mushola darussalam,3
47,Sistem Penilaian Kinerja Karyawan Magang Menggunakan Metode Profile Matching dan Scoring System (Studi Kasus: Balyco Coffee),sistem nilai kinerja karyawan magang guna metode profile matching scoring system studi kasus balyco coffee,1
48,Perancangan Sistem Aplikasi Data Mining karakteristik Kepribadian Karyawan Pada PT.Marketa Indah Menggunakan Metode Naive Bayes dan Moora,rancang sistem aplikasi data mining karakteristik pribadi karyawan pt marketa indah guna metode naive bayes moora,3
49,RANCANGAN BANGUN SISTEM PENDUKUNG KEPUTUSAN HASIL NILAI SISWA NAIK DAN TIDAK NAIK BERBASIS WEB DI SDN KOTA BARU IX MENGGUNAKAN METODE WP DAN FUZZY C-MEANS,rancang bangun sistem dukung putus hasil nilai siswa naik naik bas web sdn kota baru ix guna metode wp fuzzy c-means,1
50,"PREDIKSI JUMLAH KEBUTUHAN OBAT MENGGUNAKAN METODE LEAST 
SQUARE BERBASIS WEBSITE
(STUDI KASUS: PUSKESMAS Rawa Tembaga)",prediksi jumlah butuh obat guna metode least square bas website studi kasus puskesmas rawa tembaga,2
51,"PERANCANGAN SISTEM PREDIKSI HARGA KAYU 
DENGAN MENGGUNAKAN METODE 
K-NEAREST NEIGHBOR (KNN) PADA PK.JASA ABADI",rancang sistem prediksi harga kayu dengan guna metode k-nearest neighbor knn pk jasa abadi,2
52,"PERANCANGAN SISTEM INFORMASI PENDUKUNG KEPUTUSAN
PEMILIHAN SISWA TERBAIK TKJ PADA SMK TAMANSISWA
JAKARTA BERBASIS WEB MENGGUNAKAN METODE SAW DAN
FUZZY",rancang sistem informasi dukung putus pilih siswa baik tkj smk tamansiswa jakarta bas web guna metode saw dan fuzzy,1
53,RANCANGAN SISTEM INFORMASI PENDUKUNG KEPUTUSAN PROMOSI JABATAN DENGAN MENGGUNAKAN METODE MULTI ATTRIBUTE UTILITY THEORY (MAUT) PADA PT. MARGA NUSANTARA JAYA BERBASIS WEBSITE,rancang sistem informasi dukung putus promosi jabat guna metode multi attribute utility theory maut pt marga nusantara jaya bas website,3
54,PERANCANGAN SISTEM INFORMASI PENGAMBILAN KEPUTUSAN ESTIMASI BIAYA PENGIRIMAN BARANG BERBASIS WEB MENGGUNAKAN METODE HAVERSINE DAN LOCATION BASED SERVICE (LBS) PADA PT. DOKSA ARTHA GEMILANG,rancang sistem informasi ambil putus estimasi biaya kirim barang bas web guna metode haversine location based service lbs pt doksa artha gemilang,3
55,SISTEM PENDUKUNG KEPUTUSAN PEMILIHAN UNIVERSITAS NEGERI DAN JURUSAN BERBASIS WEB MENGGUNAKAN METODE SMART DAN K-MEANS PADA SMK MALAKA,sistem dukung putus pilih universitas negeri jurus bas web guna metode smart k-means smk malaka,1
56,PELAYANAN ZAKAT BERBASIS ANDROID DENGAN METODE FORWARD CHAINING DAN CERTAINTY FACTOR,layan zakat bas android metode forward chaining certainty factor,3
57,"Sistem Informasi Pemesanan Makanan Berbasis Android Dengan 
Metode Location Based Service (LBS) Pada Pondok Makan 
Rajawali",sistem informasi mesan makan bas android metode location based service lbs pondok makan rajawali,3
58,"SISTEM PENDUKUNG KEPUTUSAN UNTUK MENENTUKAN
MATERIAL PACKAGING MENGGUNAKAN METODE KNN DAN
SMART (STUDI KASUS PT DNP INDONESIA)",sistem dukung putus tentu material packaging guna metode knn dan smart studi kasus pt dnp indonesia,4
59,"ERANCANGAN SISTEM REKOMENDASI PENERIMA DANA BANSOS DI MASA
PANDEMI COVID-19 MENGGUNAKAN METODE K-MEANS DAN METODE
NA�VE BAYES",erancangan sistem rekomendasi terima dana bansos masa pandemi covid-19 guna metode k-means metode na ve bayes,3
60,ANALISIS PENGENDALIAN PERSEDIAAN KAYU MENGGUNAKAN METODE ECONOMIC ORDER QUANTITY (EOQ) PADA PERUSAHAAN KAYU JASA ABADI,analisis kendali sedia kayu guna metode economic order quantity eoq usaha kayu jasa abadi,3
61,PENERAPAN METODE MULTI OBJECTIVE OPTIMIZATION ON THE BASIC OF RATIO ANALYSIS (MOORA) DALAM PENDUKUNG KEPUTUSAN PEMILIHAN SEKOLAH DASAR DI WILAYAH DESA SATRIA JAYA ,terap metode multi objective optimization on the basic of ratio analysis moora dukung putus pilih sekolah dasar wilayah desa satria jaya,3
62,Perbandingan Metode K-Nearest Neighbor (K-NN) dan Metode K-Means Dalam Menentukan Tingkat Penjualan Produk Pada Perusahaan Kayu Elang Perkasa ,banding metode k-nearest neighbor k-nn metode k-means tentu tingkat jual produk usaha kayu elang perkasa,2
63,"IMPLEMENTASI CROSS SELLING PRODUK PADA APOTEK KARUNASEHAT
MENGGUNAKAN METODE GENERALIZED SQUENCE PATTERN (GSP)",implementasi cross selling produk apotek karunasehat guna metode generalized squence pattern gsp,3
64,"PERANCANGAN SISTEM INFORMASI BERBASIS WEB
UNTUK MEREKOMENDASIKAN MENU CATTERING
TERFAVORIT MENGGUNAKAN METODE FP GROWTH PADA KITCHEN AMI",rancang sistem informasi bas web untuk rekomendasi menu cattering favorit guna metode fp growth kitchen ami,3
65,PERANCANGAN SISTEM PENGAMBILAN KEPUTUSAN BERBASIS WEB UNTUK PENERIMAAN  LOWONGAN KERJA MENGGUNAKAN METODE MOORA DAN SAW PADA PT. PRIVATE GUARD,rancang sistem ambil putus bas web terima lowong kerja guna metode moora saw pt private guard,3
66,Perbandingan Model Regresi Linier Pada Datamining Dengan Exponential Smooth Untuk Estimasi Harga Pada PT. Givro Multi Teknik Perkasa,banding model regresi linier datamining exponential smooth estimasi harga pt givro multi teknik perkasa,2
67,Perbandingan Model Regresi Linier Pada Datamining Dengan Exponential Smooth Untuk Estimasi Harga Pada PT. Givro Multi Teknik Perkasa,banding model regresi linier datamining exponential smooth estimasi harga pt givro multi teknik perkasa,2
68,Penerapan Metode Collaborative Filtering dan Algoritma Asosiasi di Datamining Untuk Sistem Rekomendasi Berita Pada Website Berita di DPRD Kota Bekasi,terap metode collaborative filtering algoritma asosiasi datamining sistem rekomendasi berita website berita dprd kota bekas,4
69,Perbandingan Model Regresi Linier Pada Datamining Dengan Exponential Smooth Untuk Estimasi Harga Pada PT. Givro Multi Teknik Perkasa,banding model regresi linier datamining exponential smooth estimasi harga pt givro multi teknik perkasa,2
70,"PENERAPAN ALGORITMA NA�VE BAYES DALAM
RECOMENDASI PENJURUSAN MAHASISWA BARU DI
UNIVERSITAS DARMA PERSADA",terap algoritma na ve bayes dalam recomendasi jurus mahasiswa baru di universitas darma persada,4
71,PERANCANGAN SISTEM PEMILIHAN KARYAWAN TERBAIK BERBASIS WEB MENGGUNAKAN METODE WEIGHTED SUM MODEL (WSM) DAN DATA MINING,rancang sistem pilih karyawan baik bas web guna metode weighted sum model wsm data mining,1
72,SISTEM PENDUKUNG KEPUTUSAN PENERIMA BANTUAN DANA DESA DI KELURAHAN CAKUNG TIMUR DENGAN MENGGUNAKAN METODE PROMETHEE II BERBASIS WEB,sistem dukung putus terima bantu dana desa lurah cakung timur guna metode promethee ii bas web,3
73,PERANCANGAN SISTEM APLIKASI PENDATAAN ALUMNI BERBASIS WEB DECISION SUPPORT SYSTEM DENGAN METODE SAW DAN PROFILE MATCHING UNTUK MENCARI REKOMENDASI LOWONGAN PEKERJAAN DAN REKOMENDASI BEASISWA TERHADAP ALUMNI,rancang sistem aplikasi data alumni bas web decision support system metode saw profile matching cari rekomendasi lowong kerja rekomendasi beasiswa alumni,1
74,PERANCANGAN SISTEM APLIKASI PENDATAAN ALUMNI BERBASIS WEB DECISION SUPPORT SYSTEM DENGAN METODE SAW DAN PROFILE MATCHING UNTUK MENCARI REKOMENDASI LOWONGAN PEKERJAAN DAN REKOMENDASI BEASISWA TERHADAP ALUMNI,rancang sistem aplikasi data alumni bas web decision support system metode saw profile matching cari rekomendasi lowong kerja rekomendasi beasiswa alumni,1
75,SISTEM REKOMENDASI PEREKRUTAN KARYAWAN DENGAN METODE WEIGHTED PRODUCT (WP) DAN ALGORITMA NAIVE BAYES CLASSIFICATION PADA PT RASA SAYANG AIS KRIM,sistem rekomendasi rekrut karyawan metode weighted product wp algoritma naive bayes classification pt rasa sayang ais krim,4
76,PERBANDINGAN METODE SIMPLE ADDITIVE WEIGHTING DAN WEIGHTED PRODUCT MENGGUNAKAN METODE MEAN SQUARED ERROR UNTUK PEMILIHAN BEASISWA JKA BERBASIS WEB (STUDI KASUS: UKM KENDOKA UNSADA),banding metode simple additive weighting weighted product guna metode mean squared error pilih beasiswa jka bas web studi kasus ukm kendoka unsada,3
77,PERANCANGAN SISTEM PRODUKTIVITAS KINERJA DEVELOPER MENGGUNAKAN METODE PROFILE MATCHING DAN NAIVE BAYES DALAM MENENTUKAN DEVELOPER OF THE MONTH DAN KELAYAKAN KENAIKAN GAJI DEVELOPER,rancang sistem produktivitas kinerja developer guna metode profile matching naive bayes tentu developer of the month layak naik gaji developer,4
78,RANCANGAN SISTEM INFORMASI PENCARIAN DAN REKOMENDASI TEMPAT AGEN DENGAN METODE HAVERSINE DAN METODE ELECTRE BERBASIS WEB PADA BRAINY OFFICAL,rancang sistem informasi cari rekomendasi tempat agen metode haversine metode electre bas web brainy offical,3
79,IMPLEMENTASI DATA MINING DALAM MEMPREDIKSI DATA RESTORAN DARI ZOMATO MENGGUNAKAN ALGORITMA APRIORI,implementasi data mining prediksi data restoran zomato guna algoritma apriori,1
80,Rancang Bangun Sistem Rekomendasi Jasa Laundry Sepatu Dengan Menggunakan Metode Collaborative Filtering Pada Spokat Wash,rancang bangun sistem rekomendasi jasa laundry sepatu guna metode collaborative filtering spokat wash,3
81,Perancangan Sistem Pemilihan Supplier Alat Laboratorium Berbasis Web Dengan Metode Integrasi AHP dan TOPSIS di PT. ANUGRAH NIAGA MANDIRI,rancang sistem pilih supplier alat laboratorium bas web metode integrasi ahp topsis pt anugrah niaga mandiri,3
82,SISTEM PENDUKUNG KEPUTUSAN PENERIMA BANTUAN DANA DESA DI KELURAHAN CAKUNG TIMUR DENGAN MENGGUNAKAN METODE PROMETHEE II BERBASIS WEB,sistem dukung putus terima bantu dana desa lurah cakung timur guna metode promethee ii bas web,3
83,"PERANCANGAN SISTEM INFORMASI PERGUDANGAN SPAREPART
PADA PT.ROCHE INDONESIA MENGGUNAKAN SINGLE
EXPONENTIAL SMOOTHING (SES)",rancang sistem informasi gudang sparepart pada pt roche indonesia guna single exponential smoothing s,2
84,SISTEM PENILAIAN SISWA TERHADAP KINERJA GURU SAAT MENGAJAR ONLINE MENGGUNAKAN METODE WEIGHTED PRODUCT,sistem nilai siswa kinerja guru ajar online guna metode weighted product,1
85,PERANCANGAN PLATFORM E-LEARNING BERBASIS WEBSITE UNTUK MEMBANTU KELAS ONLINE (STUDI KASUS : JAGO GITAR),rancang platform e-learning bas website bantu kelas online studi kasus jago gitar,4
86,PERANCANGAN PLATFORM E-LEARNING BERBASIS WEBSITE UNTUK MEMBANTU KELAS ONLINE (STUDI KASUS : JAGO GITAR),rancang platform e-learning bas website bantu kelas online studi kasus jago gitar,4
87,"PERANCANGAN SISTEM INFORMASI GOTONG ROYONG DIGITAL BERBASIS WEB DENGAN MENGGUNAKAN METODE CROWDFUNDING DAN WATERFALL
STUDI KASUS:(KARANG TARUNA PERUM.GRAHA MELASTI RT 006 RW 014 DESA SUMBER JAYA KECAMATAN TAMBUN SELATAN KABUPATEN BEKASI
",rancang sistem informasi gotong royong digital bas web guna metode crowdfunding waterfall studi kasus karang taruna perum graha melasti rt 006 rw 014 desa sumber jaya camat tambun selatan kabupaten bekas,3
88,SISTEM PENDUKUNG KEPUTUSAN PENERIMA BANTUAN DANA DESA DI KELURAHAN CAKUNG TIMUR DENGAN MENGGUNAKAN METODE PROMETHEE II BERBASIS WEB,sistem dukung putus terima bantu dana desa lurah cakung timur guna metode promethee ii bas web,3
89,Rancang Robot Magic Spin Mop Floor Clearing System Berbasis Arduino Menggunakan Metode Behavior Based Control Dengan Sensor Ultrasonic,rancang robot magic spin mop floor clearing system bas arduino guna metode behavior based control sensor ultrasonic,3
90,Penerapan optimasi expert advisor pada metatrader 4 menggunakan algoritma fibonacci pada analisa perdagangan forex ,terap optimasi expert advisor metatrader 4 guna algoritma fibonacci analisa dagang forex,3
91,"Prediksi Pola Penyebaran Demam Berdarah Menggunakan Algoritma Support 
Vector Machine (SVM) Pada Kota Jakarta Timur",prediksi pola sebar demam darah guna algoritma support vector machine svm kota jakarta timur,2
92,"Analisa Klasifikasi Menggunakan Metode SVM Dari Data Penderita Penyakit
Ispa",analisa klasifikasi guna metode svm data derita sakit ispa,1
93,"PERANCANGAN SISTEM PENDUKUNG KEPUTUSAN PEMILIHAN MOBIL
BEKAS TERBAIK SESUAI KRITERIA MENGGUNAKAN METODE SMART 
(Studi Kasus : Showroom Banyumas Motor)",rancang sistem dukung putus pilih mobil bekas baik sesuai kriteria guna metode smart studi kasus showroom banyumas motor,3
94,Implementasi model evaluasi kinerja dan promosi karyawan berbasis web menggunakan metode similarity dan simple multi attribute (Studi kasus: PT. Panca Logam Sukses Mandiri),implementasi model evaluasi kinerja promosi karyawan bas web guna metode similarity simple multi attribute studi kasus pt panca logam sukses mandiri,4
95,Implementasi model evaluasi kinerja dan promosi karyawan berbasis web menggunakan metode similarity dan simple multi attribute (Studi kasus: PT. Panca Logam Sukses Mandiri),implementasi model evaluasi kinerja promosi karyawan bas web guna metode similarity simple multi attribute studi kasus pt panca logam sukses mandiri,4
96,"SISTEM PENDUKUNG KEPUTUSAN SELEKSI PENERIMA 
BEASISWA SOCCA UNIVERSITAS DARMA PERSADA 
DENGAN METODE VIKOR DAN ARAS BERBASIS WEB",sistem dukung putus seleksi terima beasiswa socca universitas darma persada dengan metode vikor aras bas web,3
97,"SISTEM PENDUKUNG KEPUTUSAN PEMILIHAN 
KEPALA SEKOLAH DI SMK GARUDA JAKARTA TIMUR
DENGAN METODE FANP BERBASIS WEB",sistem dukung putus pilih kepala sekolah smk garuda jakarta timur dengan metode fanp bas web,1
